flow_type,partner,product,reporter,Trade,Y_2013_IHS,Y_2014_IHS,Y_2015_IHS,Y_2016_IHS,Y_2017_IHS,Y_2018_IHS,Y_2019_IHS,YTD,YTD_2019,YTD_2020,updated_date
QTY,Czech Republic,All Steel Mill Products,United States (For Domestic Consumption),IMP,155049.397,194681.697,112222.885,86815.395,125054.768,111760.935,98391.14,Feb,19095.529,15124.241,06APR2020
QTY,Czech Republic,Flat Products,United States (For Domestic Consumption),IMP,4332.377,1667.603,2778.11,3745.287,4435.91,1002.842,577.827,Feb,55.795,0,06APR2020
QTY,Czech Republic,Long Products,United States (For Domestic Consumption),IMP,74940.426,108871,70696.75,55629.735,63370.752,62493.456,42020.719,Feb,4402.698,8642.997,06APR2020
QTY,Czech Republic,Pipe and Tube Products,United States (For Domestic Consumption),IMP,74031.29,80981.226,35817.678,23826.374,54768.208,46927.17,54420.765,Feb,14335.057,5670.814,06APR2020
QTY,Czech Republic,Semi-Finished Products,United States (For Domestic Consumption),IMP,6.118,1.371,0,18.576,0,0,0,Feb,0,0,06APR2020
QTY,Czech Republic,Stainless Products,United States (For Domestic Consumption),IMP,1739.186,3160.497,2930.347,3595.423,2479.898,1337.467,1371.829,Feb,301.979,810.43,06APR2020
QTY,Germany,All Steel Mill Products,United States (For Domestic Consumption),IMP,1019716.249,1192873.215,1411459.6,1111500.805,1382547.763,1252979.71,966473.266,Feb,195896.717,99789.626,06APR2020
QTY,Germany,Flat Products,United States (For Domestic Consumption),IMP,472774.499,431413.194,630399.249,657186.465,648811.293,600437.349,475785.99,Feb,86684.861,46399.804,06APR2020
QTY,Germany,Long Products,United States (For Domestic Consumption),IMP,209316.146,273839.624,313989.999,236916.271,311070.749,299050.933,195274.659,Feb,47248.847,17891.123,06APR2020
QTY,Germany,Pipe and Tube Products,United States (For Domestic Consumption),IMP,296420.259,413668.65,383582.354,163232.919,280354.781,278181.457,245009.172,Feb,57244.568,23246.53,06APR2020
QTY,Germany,Semi-Finished Products,United States (For Domestic Consumption),IMP,6617.404,29517.139,30717.749,5304.78,23934.842,10381.062,10121.135,Feb,130.845,2173.962,06APR2020
QTY,Germany,Stainless Products,United States (For Domestic Consumption),IMP,34587.941,44434.608,52770.249,48860.37,118376.098,64928.909,40282.31,Feb,4587.596,10078.207,06APR2020
QTY,Dominican Republic,All Steel Mill Products,United States (For Domestic Consumption),IMP,34004.988,19885.149,14157.448,27158.885,38087.754,56142.725,65988.996,Feb,6549.47,10445.139,06APR2020
QTY,Dominican Republic,Flat Products,United States (For Domestic Consumption),IMP,0,41.474,50.632,224.265,1261.304,1951.828,274.256,Feb,93.483,21.751,06APR2020
QTY,Dominican Republic,Long Products,United States (For Domestic Consumption),IMP,28931.503,16377.887,10266.541,20393.122,26224.521,44465.631,58582.983,Feb,5248.278,9188.898,06APR2020
QTY,Dominican Republic,Pipe and Tube Products,United States (For Domestic Consumption),IMP,5073.485,3465.788,3840.275,6541.11,10601.929,9725.266,7106.372,Feb,1207.709,1234.49,06APR2020
QTY,Dominican Republic,Semi-Finished Products,United States (For Domestic Consumption),IMP,0,0,0,0,0,0,25.385,Feb,0,0,06APR2020
QTY,Dominican Republic,Stainless Products,United States (For Domestic Consumption),IMP,0,0,0,0.388,0,0,0,Feb,0,0,06APR2020
QTY,Egypt,All Steel Mill Products,United States (For Domestic Consumption),IMP,0,25901.74,19.06,10014.259,173660.69,145664.752,94673.655,Feb,38720.755,1627.05,06APR2020
QTY,Egypt,Flat Products,United States (For Domestic Consumption),IMP,0,0,19.06,9834.033,129275.077,95369.337,52840.695,Feb,15331.095,1627.05,06APR2020
QTY,Egypt,Long Products,United States (For Domestic Consumption),IMP,0,25901.74,0,179.91,44385.613,50295.415,41832.96,Feb,23389.66,0,06APR2020
QTY,Egypt,Stainless Products,United States (For Domestic Consumption),IMP,0,0,0,0.316,0,0,0,Feb,0,0,06APR2020
QTY,Spain,All Steel Mill Products,United States (For Domestic Consumption),IMP,208951.4,370227.633,282572.498,287187.243,405665.725,293592.869,403892.354,Feb,61852.432,55677.674,06APR2020
QTY,Spain,Flat Products,United States (For Domestic Consumption),IMP,2037.871,17133.425,7712.188,14378.845,3034.087,4330.417,7699.372,Feb,620.115,1149.81,06APR2020
QTY,Spain,Long Products,United States (For Domestic Consumption),IMP,137410.203,248364.515,191370.853,228191.391,285175.662,166975.756,299789.552,Feb,26286.626,40550.956,06APR2020
QTY,Spain,Pipe and Tube Products,United States (For Domestic Consumption),IMP,53917.966,82038.142,64483.282,27474.425,97978.19,108199.741,85684.441,Feb,33227.778,11583.163,06APR2020
QTY,Spain,Semi-Finished Products,United States (For Domestic Consumption),IMP,15.565,24.833,400.283,515.228,118.968,294.928,1.566,Feb,0,0,06APR2020
QTY,Spain,Stainless Products,United States (For Domestic Consumption),IMP,15569.795,22666.718,18605.892,16627.354,19358.818,13792.027,10717.423,Feb,1717.913,2393.745,06APR2020
QTY,Finland,All Steel Mill Products,United States (For Domestic Consumption),IMP,71729.021,114498.89,34321.607,47908.363,67476.659,54005.113,30147.02,Feb,5011.43,3626.616,06APR2020
QTY,Finland,Flat Products,United States (For Domestic Consumption),IMP,35090.266,92521.662,23192.788,34872.653,49603.011,35530.8,20912,Feb,3928.917,1553.119,06APR2020
QTY,Finland,Long Products,United States (For Domestic Consumption),IMP,1088.679,1620.167,1672.709,2749.969,2177.071,3269.599,1090.223,Feb,276.755,658.501,06APR2020
QTY,Finland,Pipe and Tube Products,United States (For Domestic Consumption),IMP,4497.628,6232.601,5192.696,5931.032,7624.474,6397.16,4555.392,Feb,593.739,920.068,06APR2020
QTY,Finland,Semi-Finished Products,United States (For Domestic Consumption),IMP,0,0,21.307,3.811,0,0,0,Feb,0,0,06APR2020
QTY,Finland,Stainless Products,United States (For Domestic Consumption),IMP,31052.448,14124.46,4242.107,4350.898,8072.103,8807.554,3589.405,Feb,212.019,494.928,06APR2020
QTY,France,All Steel Mill Products,United States (For Domestic Consumption),IMP,316822.353,438224.918,490283.945,324178.389,272608.108,269493.027,167706.941,Feb,23324.131,13228.337,06APR2020
QTY,France,Flat Products,United States (For Domestic Consumption),IMP,196005.287,289770.609,317413.596,164431.719,82729.263,91077.583,65128.529,Feb,9667.527,3458.371,06APR2020
QTY,France,Long Products,United States (For Domestic Consumption),IMP,22173.878,32272.754,72500.474,82643.079,98581.738,97388.638,55046.745,Feb,6750.413,3046.305,06APR2020
QTY,France,Pipe and Tube Products,United States (For Domestic Consumption),IMP,54304.009,68479.58,44428.944,15183.541,20473.284,14596.815,8829.94,Feb,1186.243,2196.839,06APR2020
QTY,France,Semi-Finished Products,United States (For Domestic Consumption),IMP,547.195,551.895,928.88,416.71,640.33,227.527,237.349,Feb,1.57,31.991,06APR2020
QTY,France,Stainless Products,United States (For Domestic Consumption),IMP,43791.984,47150.08,55012.051,61503.34,70183.493,66202.464,38464.378,Feb,5718.378,4494.831,06APR2020
QTY,United Kingdom,All Steel Mill Products,United States (For Domestic Consumption),IMP,458007.236,1287088.992,757014.658,328820.845,351189.1,281453.685,231103.808,Feb,36694.914,16683.408,06APR2020
QTY,United Kingdom,Flat Products,United States (For Domestic Consumption),IMP,119609.544,373578.213,367364.866,128765.294,93694.603,105781.79,79673.561,Feb,12577.809,5635.88,06APR2020
QTY,United Kingdom,Long Products,United States (For Domestic Consumption),IMP,203627.053,256701.76,232022.788,133227.68,144785.791,62331.213,50424.926,Feb,8747.378,2881.803,06APR2020
QTY,United Kingdom,Pipe and Tube Products,United States (For Domestic Consumption),IMP,72095.784,25855.971,36066.688,17576.102,59837.391,64764.761,57984.599,Feb,8835.162,3733.132,06APR2020
QTY,United Kingdom,Semi-Finished Products,United States (For Domestic Consumption),IMP,2753.362,569142.676,68069.013,3806.952,4033.84,5056.871,3668.774,Feb,464.726,157.418,06APR2020
QTY,United Kingdom,Stainless Products,United States (For Domestic Consumption),IMP,59921.493,61810.372,53491.303,45444.817,48837.475,43519.05,39351.948,Feb,6069.839,4275.175,06APR2020
QTY,Greece,All Steel Mill Products,United States (For Domestic Consumption),IMP,48107.584,44080.6,205274.122,104999.331,49845.519,263847.164,103503.01,Feb,49325.085,191.786,06APR2020
QTY,Greece,Flat Products,United States (For Domestic Consumption),IMP,0,15.289,9.54,0,0,0,0,Feb,0,0,06APR2020
QTY,Greece,Long Products,United States (For Domestic Consumption),IMP,394.034,1288.938,1512.064,2291.816,3619.833,41490,26184.818,Feb,21987,191.786,06APR2020
QTY,Greece,Pipe and Tube Products,United States (For Domestic Consumption),IMP,47713.55,42776.373,203719.15,102707.515,46223.109,222357.164,77318.192,Feb,27338.085,0,06APR2020
QTY,Greece,Stainless Products,United States (For Domestic Consumption),IMP,0,0,33.368,0,2.577,0,0,Feb,0,0,06APR2020
QTY,Guatemala,All Steel Mill Products,United States (For Domestic Consumption),IMP,4825.729,2964.726,4007.503,14401.248,31353.319,28080.122,12115.195,Feb,1505.203,1504.754,06APR2020
QTY,Guatemala,Flat Products,United States (For Domestic Consumption),IMP,25.441,105.893,100.901,8122.753,24108.488,11487.142,178.012,Feb,3.38,18.415,06APR2020
QTY,Guatemala,Long Products,United States (For Domestic Consumption),IMP,35.297,190.46,50.163,293.839,273.354,1496.106,31.46,Feb,12.053,9.802,06APR2020
QTY,Guatemala,Pipe and Tube Products,United States (For Domestic Consumption),IMP,4764.991,2668.373,3856.439,5984.656,6971.477,15096.874,11905.723,Feb,1489.77,1476.537,06APR2020
QTY,Indonesia,All Steel Mill Products,United States (For Domestic Consumption),IMP,7794.561,8320.741,7588.219,14748.662,45742.898,72757.527,67348.187,Feb,12173.496,2476.555,06APR2020
QTY,Indonesia,Flat Products,United States (For Domestic Consumption),IMP,154.723,0,52.465,3424.775,6925.345,4840.762,8169.661,Feb,1738.977,1486.45,06APR2020
QTY,Indonesia,Long Products,United States (For Domestic Consumption),IMP,84.438,52.228,123.315,358.539,693.059,1166.538,117.502,Feb,0,0,06APR2020
QTY,Indonesia,Pipe and Tube Products,United States (For Domestic Consumption),IMP,5227.452,4668.774,3680.135,3351.088,4972.691,9971.102,8457.542,Feb,3108.153,686.819,06APR2020
QTY,Indonesia,Semi-Finished Products,United States (For Domestic Consumption),IMP,0,7.368,0,0,1.608,0,0,Feb,0,0,06APR2020
QTY,Indonesia,Stainless Products,United States (For Domestic Consumption),IMP,2327.948,3592.371,3732.304,7614.26,33150.195,56779.125,50603.482,Feb,7326.366,303.286,06APR2020
QTY,India,All Steel Mill Products,United States (For Domestic Consumption),IMP,667961.562,1010697.644,790362.157,323197.894,752863.66,309564.934,190142.831,Feb,40310.353,18520.99,06APR2020
QTY,India,Flat Products,United States (For Domestic Consumption),IMP,324756.292,609857.461,458515.072,111963.139,98722.063,7611.388,6943.93,Feb,1064.736,796.638,06APR2020
